Compounds,C_q,O_q,P_q,p_C-O,L_C-O,H_C-O,V_C-O,G_C-O,ELF_C-O,e_C-O,p_P-O,L_P-O,H_P-O,V_P-O,G_P-O,ELF_P-O,e_P-O
Chemical 0,"0,455927","-1,316224","3,677666","2,67E-01","-4,51E-01","-3,98E-01","-6,83E-01","2,85E-01","5,54E-01","0,010766","1,73E-01","6,23E-01","-1,23E-01","-4,02E-01","2,79E-01","2,34E-01","0,065201"
Chemical 1,"0,458634","-1,316281","3,679125","2,67E-01","-4,59E-01","-3,97E-01","-6,79E-01","2,82E-01","5,59E-01","0,013441","1,73E-01","6,24E-01","-1,23E-01","-4,03E-01","2,79E-01","2,34E-01","0,067037"
Chemical 2,"0,445381","-1,319616","3,677877","2,63E-01","-4,53E-01","-3,88E-01","-6,63E-01","2,75E-01","5,61E-01","0,022104","1,75E-01","6,41E-01","-1,24E-01","-4,09E-01","2,85E-01","2,33E-01","0,069198"
Chemical 3,"0,42959","-1,322652","3,679265","2,58E-01","-4,38E-01","-3,77E-01","-6,44E-01","2,67E-01","5,59E-01","0,039181","1,77E-01","6,64E-01","-1,26E-01","-4,18E-01","2,92E-01","2,32E-01","0,073875"
Chemical 4,"0,42283","-1,324696","3,679878","2,56E-01","-4,36E-01","-3,71E-01","-6,33E-01","2,62E-01","5,62E-01","0,047321","1,78E-01","6,72E-01","-1,27E-01","-4,22E-01","2,95E-01","2,32E-01","0,076428"
Chemical 5,"0,4173","-1,328238","3,677447","2,52E-01","-4,48E-01","-3,59E-01","-6,06E-01","2,47E-01","5,77E-01","0,039065","1,79E-01","6,72E-01","-1,29E-01","-4,25E-01","2,97E-01","2,33E-01","0,105337"
Chemical 6,"0,401809","-1,328956","3,675252","2,49E-01","-4,25E-01","-3,53E-01","-5,99E-01","2,47E-01","5,68E-01","0,082613","1,80E-01","6,68E-01","-1,30E-01","-4,27E-01","2,97E-01","2,35E-01","0,107515"
Chemical 7,"0,469329","-1,310146","3,677698","2,68E-01","-4,70E-01","-3,99E-01","-6,80E-01","2,81E-01","5,63E-01","0,030542","1,71E-01","5,97E-01","-1,22E-01","-3,94E-01","2,72E-01","2,37E-01","0,050426"
Chemical 8,"0,472293","-1,310478","3,677062","2,70E-01","-4,58E-01","-4,05E-01","-6,97E-01","2,91E-01","5,53E-01","0,018666","1,70E-01","5,90E-01","-1,22E-01","-3,91E-01","2,69E-01","2,37E-01","0,047068"
Chemical 9,"0,4173","-1,328238","3,677447","2,52E-01","-4,48E-01","-3,59E-01","-6,06E-01","2,47E-01","5,77E-01","0,039065","1,79E-01","6,72E-01","-1,29E-01","-4,25E-01","2,97E-01","2,33E-01","0,105337"
Chemical 10,"0,401809","-1,328956","3,675252","2,49E-01","-4,25E-01","-3,53E-01","-5,99E-01","2,47E-01","5,68E-01","0,082613","1,80E-01","6,68E-01","-1,30E-01","-4,27E-01","2,97E-01","2,35E-01","0,107515"
Chemical 11,"0,469329","-1,310146","3,677698","2,68E-01","-4,70E-01","-3,99E-01","-6,80E-01","2,81E-01","5,63E-01","0,030542","1,71E-01","5,97E-01","-1,22E-01","-3,94E-01","2,72E-01","2,37E-01","0,050426"
Chemical 12,"0,472293","-1,310478","3,677062","2,70E-01","-4,58E-01","-4,05E-01","-6,97E-01","2,91E-01","5,53E-01","0,018666","1,70E-01","5,90E-01","-1,22E-01","-3,91E-01","2,69E-01","2,37E-01","0,047068"
Chemical 13,"0,335668","-1,329335","3,678364","2,38E-01","-4,02E-01","-3,27E-01","-5,54E-01","2,27E-01","5,72E-01","0,025873","1,85E-01","7,18E-01","-1,34E-01","-4,48E-01","3,14E-01","2,33E-01","0,09911"
Chemical 14,"0,555163","-1,291094","3,666828","2,90E-01","-5,01E-01","-4,52E-01","-7,79E-01","3,27E-01","5,55E-01","0,017696","1,60E-01","5,05E-01","-1,14E-01","-3,53E-01","2,40E-01","2,41E-01","0,053321"
Chemical 15,"0,534465","-1,30075","3,66604","2,82E-01","-5,09E-01","-4,32E-01","-7,36E-01","3,05E-01","5,68E-01","0,031168","1,64E-01","5,43E-01","-1,17E-01","-3,70E-01","2,53E-01","2,39E-01","0,062133"
Chemical 16,"0,4209","-1,326087","3,678452","2,55E-01","-4,36E-01","-3,70E-01","-6,31E-01","2,61E-01","5,61E-01","0,014011","1,78E-01","6,73E-01","-1,27E-01","-4,23E-01","2,95E-01","2,32E-01","0,073944"
Chemical n,"0,471692","-1,313237","3,678647","2,68E-01","-4,80E-01","-3,97E-01","-6,74E-01","2,77E-01","5,70E-01","0,029922","1,73E-01","6,21E-01","-1,23E-01","-4,01E-01","2,78E-01","2,34E-01","0,068521"
