mol_name,Group1_Volume,Group1_Charge,Group2_Volume,Group2_Charge,Group3_Volume,Group3_Charge,Group4_Volume,Group4_Charge,Group5_Volume,Group5_Charge,P_q,L_C-O,ELF_C-O,e_C-O,e_P-O,H/p_P-O,H/p_C-O,ΔG
Entry0,9.2,0,68.3,-0.264399,9.2,0.037905,9.2,0.043641,9.2,0.045529,3.6786,-0.48,0.57,0.0299,0.0685,-0.711,-1.4813,11.3
Entry1,9.2,0.017921,9.2,0.048818,59.18,-0.223523,9.2,0.04789,9.2,0.041969,3.6766,-0.46,0.558,0.0173,0.066,-0.711,-1.4888,13.6
Entry2,9.2,0,216.87,0.081738,9.2,0.019124,9.2,0.033631,9.2,0.033875,3.6786,-0.438,0.56,0.0196,0.0723,-0.7079,-1.4553,15.2
Entry3,9.2,0.005398,82.43,0.028443,9.2,0.027679,9.2,0.038025,9.2,0.033018,3.6788,-0.444,0.562,0.0217,0.0726,-0.7119,-1.4574,15.1
Entry4,9.2,0.038559,9.2,0.031752,82.43,0.021155,9.2,0.033184,9.2,0.025021,3.6799,-0.436,0.562,0.0473,0.0764,-0.7135,-1.4492,13.5
Entry5,9.2,0.039675,9.2,0.03448,103.33,-0.081453,9.2,0.04189,9.2,0.025104,3.6793,-0.438,0.559,0.0392,0.0739,-0.7119,-1.4612,14.6
Entry6,9.2,0.037898,9.2,0.049528,124.65,-0.180534,9.2,0.044763,9.2,0.017086,3.6779,-0.453,0.561,0.0221,0.0692,-0.7086,-1.4753,15.7
Entry7,9.2,0.038078,9.2,0.054956,145.96,-0.275749,9.2,0.041696,9.2,0.015885,3.6791,-0.459,0.559,0.0134,0.067,-0.711,-1.4869,13
Entry8,9.2,0.016842,9.2,0.031615,64.03,-0.152259,9.2,0.046073,9.2,0.038694,3.6777,-0.451,0.554,0.0108,0.0652,-0.711,-1.4906,15.1
Entry9,9.2,0.004423,147.91,0.099815,9.2,0.022278,9.2,0.035411,9.2,0.031412,3.6785,-0.436,0.561,0.014,0.0739,-0.7135,-1.451,12
Entry10,9.2,0,209.03,0.715263,9.2,0.040403,9.2,0.046114,9.2,0.04647,3.666,-0.509,0.568,0.0312,0.0621,-0.7134,-1.5319,9.8
Entry11,9.2,0.042905,9.2,0.047587,164.45,0.660085,9.2,0.057257,9.2,0.015186,3.6668,-0.501,0.555,0.0177,0.0533,-0.7125,-1.5586,9
Entry12,9.2,0.022411,9.2,0.020618,76.14,-0.948621,9.2,0.020165,9.2,0.037078,3.6784,-0.402,0.572,0.0259,0.0991,-0.7243,-1.3739,13.3
Entry13,9.2,0.031858,9.2,0.034072,9.2,0.029978,9.2,0.033788,9.2,0.024853,3.6791,-0.443,0.56,0.0216,0.0719,-0.7119,-1.4595,15.5
Entry14,9.2,0.021924,9.2,0.031823,61.12,0.060563,9.2,0.031396,9.2,0.03305,3.6788,-0.438,0.559,0.0277,0.0731,-0.7119,-1.4574,15.8
Entry15,9.2,0.014783,9.2,0.042328,68.3,-0.342858,9.2,0.040514,9.2,0.043311,3.6773,-0.461,0.556,0.0131,0.0642,-0.7093,-1.5019,12.8
